,Fecha,Rango_edad,Casos,Hospitalizados,Ingresos_uci,Fallecidos,Casos nuevos14,Casos nuevos7,Casos nuevos,Población,IA 7 días,IA 14 días
373,2020-04-10,40 a 49,278,102,10,1,112.0,42.0,4,97769,42.958401947447555,114.55573852652682
374,2020-04-10,50 a 59,308,135,7,2,128.0,43.0,4,89964,47.79689653639233,142.27913387577252
375,2020-04-10,60 a 69,258,156,25,7,99.0,39.0,6,77345,50.42342750016161,127.99793134656409
376,2020-04-10,70 a 79,250,182,26,28,109.0,41.0,8,53066,77.26227716428598,205.404590509931
377,2020-04-10,Mayor de 80,408,223,0,80,253.0,129.0,38,41042,314.3121680230008,616.4416938745675
378,2020-04-11,0 a 9,4,3,1,0,3.0,1.0,0,46913,2.1316053119604375,6.394815935881312
379,2020-04-11,10 a 19,9,4,0,0,2.0,2.0,0,55828,3.5824317546750737,3.5824317546750737
380,2020-04-11,20 a 29,85,19,2,0,33.0,13.0,0,50505,25.74002574002574,65.34006534006534
381,2020-04-11,30 a 39,160,35,4,0,60.0,24.0,2,70473,34.055595760078326,85.13898940019583
382,2020-04-11,40 a 49,281,104,10,1,102.0,37.0,3,97769,37.84430647751332,104.32754758665835
383,2020-04-11,50 a 59,314,137,7,2,118.0,41.0,6,89964,45.57378506958339,131.1635765417278
384,2020-04-11,60 a 69,259,158,25,7,86.0,35.0,1,77345,45.251793910401446,111.19012217984356
